author,alias,title,date,ip,city,country,ups,downs,comments,url
zanyking,最後的六年級生,Re: [請益] 業界遇到這種bug該怎麼處理?,2022-09-07 09:07:57,123.194.158.240,New Taipei,Taiwan,4,0,11,https://www.ptt.cc/bbs/Soft_Job/M.1662512881.A.2EA.html
appleboy46,小惡魔,[心得] 什麼是 gRPC，架構上為什麼要使用 gRPC,2022-09-06 21:19:20,123.110.136.13,Beixing,Taiwan,25,0,10,https://www.ptt.cc/bbs/Soft_Job/M.1662470366.A.AAB.html
ooomillie,Hi Millie,[推坑] Automation Test Program（自動化測試在,2022-09-06 13:41:18,118.150.1.44,New Taipei,Taiwan,2,0,1,https://www.ptt.cc/bbs/Soft_Job/M.1662442881.A.CD6.html
jason789780,majiLove,[請益] google問題的精確與方向,2022-09-06 10:39:42,223.137.68.113,Yilan,Taiwan,9,0,30,https://www.ptt.cc/bbs/Soft_Job/M.1662431984.A.A3F.html
edison0929,愛迪生,Re: [心得] 在日外商經驗分享,2022-09-06 02:04:44,122.99.18.93,New Taipei,Taiwan,13,0,2,https://www.ptt.cc/bbs/Soft_Job/M.1662401086.A.0A1.html
OSDBNetwork,Cloud Service,Re: [請益] 如何定義網頁後端,2022-09-05 18:37:45,220.143.251.229,,Taiwan,8,0,5,https://www.ptt.cc/bbs/Soft_Job/M.1662374268.A.769.html
z850524,胖胖婷,[活動] AWS雲端培訓計畫9/23實體課程 好評加場,2022-09-05 12:00:07,218.166.79.170,Tainan City,Taiwan,0,0,1,https://www.ptt.cc/bbs/Soft_Job/M.1662350409.A.349.html
MerciQ,gosh...,[請益] 林映股份有限公司,2022-09-05 07:01:04,220.141.169.11,New Taipei,Taiwan,10,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1662332466.A.758.html
edison0929,愛迪生,Re: [心得] 在日外商經驗分享,2022-09-04 21:04:59,223.140.56.40,Hualien City,Taiwan,7,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1662296702.A.28A.html
Kuba4ma,,[請益] 如何定義網頁後端,2022-09-04 09:48:10,203.204.54.161,New Taipei,Taiwan,19,3,30,https://www.ptt.cc/bbs/Soft_Job/M.1662256092.A.D10.html
wind31625,竹本宇,[請益] Offer請益(代PO),2022-09-04 03:55:41,121.111.163.39,Itabashi-ku,Japan,13,2,17,https://www.ptt.cc/bbs/Soft_Job/M.1662234945.A.8F4.html
edison0929,愛迪生,[心得] 在日外商經驗分享,2022-09-03 14:46:31,122.99.18.93,New Taipei,Taiwan,206,0,7,https://www.ptt.cc/bbs/Soft_Job/M.1662187593.A.8DD.html
donkey543,呆驢,[請益] 轉職offer請益,2022-09-03 02:09:24,219.71.57.5,New Taipei,Taiwan,14,0,6,https://www.ptt.cc/bbs/Soft_Job/M.1662142172.A.BBE.html
wind31625,竹本宇,[請益]ACCESS 愛可信台灣軟體,2022-09-02 20:27:16,121.111.163.39,Itabashi-ku,Japan,0,1,2,https://www.ptt.cc/bbs/Soft_Job/M.1662121640.A.1AA.html
Breve,布蕾,[群組] 程式開發RD群,2022-09-02 11:53:31,66.90.72.171,,United States,3,6,16,https://www.ptt.cc/bbs/Soft_Job/M.1662090813.A.884.html
empliu,冬馬黨中央政治局委員,[推坑] 112學年度大學升學資安特殊選才外加名額,2022-09-01 13:13:28,140.113.0.229,New Taipei,Taiwan,23,2,25,https://www.ptt.cc/bbs/Soft_Job/M.1662009212.A.994.html
konamikiko,圓圓,[問卷] 軟體工程師遠距工作意願問卷,2022-09-01 12:47:48,118.160.76.249,New Taipei,Taiwan,40,0,27,https://www.ptt.cc/bbs/Soft_Job/M.1662007671.A.60D.html
wei115,社畜,[請益] 如何搞懂嵌入式圖形處理？,2022-09-01 12:41:47,42.76.228.94,Beiping,Taiwan,7,0,26,https://www.ptt.cc/bbs/Soft_Job/M.1662007309.A.3D4.html
